segundo,calculo,timestamp,hora_minuto,valor_real,temp_aparente,precipitacao
0,0,1533819506,12:58,26,28.66,0.5309
1,0,1533819507,12:58,26,28.66,0.5309
2,0,1533819508,12:58,26,28.66,0.5309
3,0,1533819509,12:58,26,28.66,0.5309
4,0,1533819510,12:58,26,28.66,0.5309
5,0,1533819511,12:58,26,28.66,0.5309
6,0,1533819512,12:58,26,28.66,0.5309
7,0,1533819513,12:58,26,28.66,0.5309
8,0,1533819514,12:58,26,28.66,0.5309
9,0,1533819515,12:58,26,28.66,0.5309
10,0,1533819516,12:58,26,28.66,0.5309
11,0,1533819517,12:58,26,28.66,0.5309
12,0,1533819518,12:58,26,28.66,0.5309
13,0,1533819519,12:58,26,28.66,0.5309
14,0,1533819520,12:58,26,28.66,0.5309
15,0,1533819521,12:58,26,28.66,0.5309
16,0,1533819522,12:58,26,28.66,0.5309
17,0,1533819523,12:58,26,28.66,0.5309
18,0,1533819524,12:58,26,28.66,0.5309
19,0,1533819525,12:58,26,28.66,0.5309
20,0,1533819526,12:58,26,28.66,0.5309
21,0,1533819527,12:58,26,28.66,0.5309
22,0,1533819528,12:58,26,28.66,0.5309
23,0,1533819529,12:58,26,28.66,0.5309
24,0,1533819530,12:58,26,28.66,0.5309
25,0,1533819531,12:58,26,28.66,0.5309
26,0,1533819532,12:58,26,28.66,0.5309
27,0,1533819533,12:58,26,28.66,0.5309
28,0,1533819534,12:58,26,28.66,0.5309
29,0,1533819535,12:58,26,28.66,0.5309
30,0,1533819536,12:58,26,28.66,0.5309
31,0,1533819537,12:58,26,28.66,0.5309
32,0,1533819538,12:58,26,28.66,0.5309
33,0,1533819539,12:58,26,28.66,0.5309
34,0,1533819540,12:59,26,28.66,0.5309
35,0,1533819541,12:59,26,28.66,0.5309
36,0,1533819542,12:59,26,28.66,0.5309
37,0,1533819543,12:59,26,28.66,0.5309
38,0,1533819544,12:59,26,28.66,0.5309
39,0,1533819545,12:59,26,28.66,0.5309
40,0,1533819546,12:59,26,28.66,0.5309
41,0,1533819547,12:59,26,28.66,0.5309
42,0,1533819548,12:59,26,28.66,0.5309
43,0,1533819549,12:59,26,28.66,0.5309
44,0,1533819550,12:59,26,28.66,0.5309
45,0,1533819551,12:59,26,28.66,0.5309
46,0,1533819552,12:59,26,28.66,0.5309
47,0,1533819553,12:59,26,28.66,0.5309
48,0,1533819554,12:59,26,28.66,0.5309
49,0,1533819555,12:59,26,28.66,0.5309
50,0,1533819556,12:59,26,28.66,0.5309
51,0,1533819557,12:59,26,28.66,0.5309
52,0,1533819558,12:59,26,28.66,0.5309
53,0,1533819559,12:59,26,28.66,0.5309
54,0,1533819560,12:59,26,28.66,0.5309
55,0,1533819561,12:59,26,28.66,0.5309
56,0,1533819562,12:59,26,28.66,0.5309
57,0,1533819563,12:59,26,28.66,0.5309
58,0,1533819564,12:59,26,28.66,0.5309
59,0,1533819565,12:59,26,28.66,0.5309
60,0,1533819566,12:59,26,28.68,0.5283
61,4,1533819567,12:59,26,28.68,0.5283
62,6,1533819568,12:59,26,28.68,0.5283
63,6,1533819569,12:59,26,28.68,0.5283
64,6,1533819570,12:59,26,28.68,0.5283
65,7,1533819571,12:59,26,28.68,0.5283
66,10,1533819572,12:59,26,28.68,0.5283
67,14,1533819573,12:59,26,28.68,0.5283
68,16,1533819574,12:59,26,28.68,0.5283
69,19,1533819575,12:59,26,28.68,0.5283
70,23,1533819576,12:59,26,28.68,0.5283
71,25,1533819577,12:59,26,28.68,0.5283
72,27,1533819578,12:59,26,28.68,0.5283
73,31,1533819579,12:59,26,28.68,0.5283
74,33,1533819580,12:59,26,28.68,0.5283
75,35,1533819581,12:59,26,28.68,0.5283
76,37,1533819582,12:59,26,28.68,0.5283
77,37,1533819583,12:59,26,28.68,0.5283
78,37,1533819584,12:59,26,28.68,0.5283
79,38,1533819585,12:59,26,28.68,0.5283
80,41,1533819586,12:59,26,28.68,0.5283
81,46,1533819587,12:59,26,28.68,0.5283
82,48,1533819588,12:59,26,28.68,0.5283
83,49,1533819589,12:59,26,28.68,0.5283
84,52,1533819590,12:59,26,28.68,0.5283
85,54,1533819591,12:59,26,28.68,0.5283
86,54,1533819592,12:59,26,28.68,0.5283
87,55,1533819593,12:59,26,28.68,0.5283
88,55,1533819594,12:59,26,28.68,0.5283
89,58,1533819595,12:59,26,28.68,0.5283
90,60,1533819596,12:59,26,28.68,0.5283
91,60,1533819597,12:59,26,28.68,0.5283
92,58,1533819598,12:59,26,28.68,0.5283
93,61,1533819599,12:59,26,28.68,0.5283
94,62,1533819600,13:00,26,28.68,0.5283
95,63,1533819601,13:00,26,28.68,0.5283
96,63,1533819602,13:00,26,28.68,0.5283
97,61,1533819603,13:00,26,28.68,0.5283
98,61,1533819604,13:00,26,28.68,0.5283
99,60,1533819605,13:00,26,28.68,0.5283
100,60,1533819606,13:00,26,28.68,0.5283
101,62,1533819607,13:00,26,28.68,0.5283
102,61,1533819608,13:00,26,28.68,0.5283
103,61,1533819609,13:00,26,28.68,0.5283
104,63,1533819610,13:00,26,28.68,0.5283
105,65,1533819611,13:00,26,28.68,0.5283
106,64,1533819612,13:00,26,28.68,0.5283
107,63,1533819613,13:00,26,28.68,0.5283
108,63,1533819614,13:00,26,28.68,0.5283
109,62,1533819615,13:00,26,28.68,0.5283
110,61,1533819616,13:00,26,28.68,0.5283
