segundo,calculo,timestamp,hora_minuto,valor_real
0,0,1528379220,13:47,21
1,0,1528379221,13:47,21
2,0,1528379222,13:47,21
3,0,1528379223,13:47,21
4,0,1528379224,13:47,21
5,0,1528379225,13:47,21
6,0,1528379226,13:47,21
7,0,1528379227,13:47,21
8,0,1528379228,13:47,21
9,0,1528379229,13:47,21
10,0,1528379230,13:47,21
11,0,1528379231,13:47,21
12,0,1528379232,13:47,21
13,0,1528379233,13:47,21
14,0,1528379234,13:47,21
15,0,1528379235,13:47,21
16,0,1528379236,13:47,21
17,0,1528379237,13:47,21
18,0,1528379238,13:47,21
19,0,1528379239,13:47,21
20,0,1528379240,13:47,21
21,0,1528379241,13:47,21
22,0,1528379242,13:47,21
23,0,1528379243,13:47,21
24,0,1528379244,13:47,21
25,0,1528379245,13:47,21
26,0,1528379246,13:47,21
27,0,1528379247,13:47,21
28,0,1528379248,13:47,21
29,0,1528379249,13:47,21
30,0,1528379250,13:47,21
31,0,1528379251,13:47,21
32,0,1528379252,13:47,21
33,0,1528379253,13:47,21
34,0,1528379254,13:47,21
35,0,1528379255,13:47,21
36,0,1528379256,13:47,21
37,0,1528379257,13:47,21
38,0,1528379258,13:47,21
39,0,1528379259,13:47,21
40,0,1528379260,13:47,21
41,0,1528379261,13:47,21
42,0,1528379262,13:47,21
43,0,1528379263,13:47,21
44,0,1528379264,13:47,21
45,0,1528379265,13:47,21
46,0,1528379266,13:47,21
47,0,1528379267,13:47,21
48,0,1528379268,13:47,21
49,0,1528379269,13:47,21
50,0,1528379270,13:47,21
51,0,1528379271,13:47,21
52,0,1528379272,13:47,21
53,0,1528379273,13:47,21
54,0,1528379274,13:47,21
55,0,1528379275,13:47,21
56,0,1528379276,13:47,21
57,0,1528379277,13:47,21
58,0,1528379278,13:47,21
59,0,1528379279,13:47,21
60,0,1528379280,13:48,24
61,0,1528379281,13:48,24
62,0,1528379282,13:48,24
63,0,1528379283,13:48,24
64,0,1528379284,13:48,24
65,0,1528379285,13:48,24
66,0,1528379286,13:48,24
67,0,1528379287,13:48,24
68,0,1528379288,13:48,24
69,0,1528379289,13:48,24
70,0,1528379290,13:48,24
71,0,1528379291,13:48,24
72,0,1528379292,13:48,24
73,0,1528379293,13:48,24
74,0,1528379294,13:48,24
75,0,1528379295,13:48,24
76,0,1528379296,13:48,24
77,0,1528379297,13:48,24
78,0,1528379298,13:48,24
79,0,1528379299,13:48,24
80,0,1528379300,13:48,24
81,1,1528379301,13:48,24
82,2,1528379302,13:48,24
83,2,1528379303,13:48,24
84,2,1528379304,13:48,24
85,2,1528379305,13:48,24
86,2,1528379306,13:48,24
87,2,1528379307,13:48,24
88,2,1528379308,13:48,24
89,2,1528379309,13:48,24
90,2,1528379310,13:48,24
91,1,1528379311,13:48,24
92,0,1528379312,13:48,24
93,0,1528379313,13:48,24
94,2,1528379314,13:48,24
95,2,1528379315,13:48,24
96,2,1528379316,13:48,24
97,2,1528379317,13:48,24
98,3,1528379318,13:48,24
99,3,1528379319,13:48,24
100,3,1528379320,13:48,24
101,3,1528379321,13:48,24
102,3,1528379322,13:48,24
103,3,1528379323,13:48,24
104,5,1528379324,13:48,24
105,7,1528379325,13:48,24
106,7,1528379326,13:48,24
107,7,1528379327,13:48,24
108,8,1528379328,13:48,24
109,9,1528379329,13:48,24
110,10,1528379330,13:48,24
111,10,1528379331,13:48,24
112,10,1528379332,13:48,24
