segundo,calculo,timestamp,hora_minuto,valor_real,temp_aparente,precipitacao
0,0,1532616455,14:47,20,29.83,0.0152
1,0,1532616456,14:47,20,29.83,0.0152
2,0,1532616457,14:47,20,29.83,0.0152
3,0,1532616458,14:47,20,29.83,0.0152
4,0,1532616459,14:47,20,29.83,0.0152
5,0,1532616460,14:47,20,29.83,0.0152
6,0,1532616461,14:47,20,29.83,0.0152
7,0,1532616462,14:47,20,29.83,0.0152
8,0,1532616463,14:47,20,29.83,0.0152
9,0,1532616464,14:47,20,29.83,0.0152
10,0,1532616465,14:47,20,29.83,0.0152
11,0,1532616466,14:47,20,29.83,0.0152
12,0,1532616467,14:47,20,29.83,0.0152
13,0,1532616468,14:47,20,29.83,0.0152
14,0,1532616469,14:47,20,29.83,0.0152
15,0,1532616470,14:47,20,29.83,0.0152
16,0,1532616471,14:47,20,29.83,0.0152
17,0,1532616472,14:47,20,29.83,0.0152
18,0,1532616473,14:47,20,29.83,0.0152
19,0,1532616474,14:47,20,29.83,0.0152
20,0,1532616475,14:47,20,29.83,0.0152
21,0,1532616476,14:47,20,29.83,0.0152
22,0,1532616477,14:47,20,29.83,0.0152
23,0,1532616478,14:47,20,29.83,0.0152
24,0,1532616479,14:47,20,29.83,0.0152
25,0,1532616480,14:48,21,29.83,0.0152
26,0,1532616481,14:48,21,29.83,0.0152
27,0,1532616482,14:48,21,29.83,0.0152
28,0,1532616483,14:48,21,29.83,0.0152
29,0,1532616484,14:48,21,29.83,0.0152
30,0,1532616485,14:48,21,29.83,0.0152
31,0,1532616486,14:48,21,29.83,0.0152
32,0,1532616487,14:48,21,29.83,0.0152
33,0,1532616488,14:48,21,29.83,0.0152
34,0,1532616489,14:48,21,29.83,0.0152
35,0,1532616490,14:48,21,29.83,0.0152
36,0,1532616491,14:48,21,29.83,0.0152
37,0,1532616492,14:48,21,29.83,0.0152
38,0,1532616493,14:48,21,29.83,0.0152
39,0,1532616494,14:48,21,29.83,0.0152
40,0,1532616495,14:48,21,29.83,0.0152
41,0,1532616496,14:48,21,29.83,0.0152
42,0,1532616497,14:48,21,29.83,0.0152
43,0,1532616498,14:48,21,29.83,0.0152
44,0,1532616499,14:48,21,29.83,0.0152
45,0,1532616500,14:48,21,29.83,0.0152
46,0,1532616501,14:48,21,29.83,0.0152
47,0,1532616502,14:48,21,29.83,0.0152
48,0,1532616503,14:48,21,29.83,0.0152
49,0,1532616504,14:48,21,29.83,0.0152
50,0,1532616505,14:48,21,29.83,0.0152
51,0,1532616506,14:48,21,29.83,0.0152
52,0,1532616507,14:48,21,29.83,0.0152
53,0,1532616508,14:48,21,29.83,0.0152
54,0,1532616509,14:48,21,29.83,0.0152
55,0,1532616510,14:48,21,29.83,0.0152
56,0,1532616511,14:48,21,29.83,0.0152
57,0,1532616512,14:48,21,29.83,0.0152
